fat,len,wid,slat,slon
0,2.5,200,42.88,-112.65
0,5.4,450,35.3658,-94.0375
0,0.35,200,31.9256,-102.4409
0,3.66,150,41.4,-87.85
0,0.22,50,33.1018,-99.613
0,0.5,100,30.48,-84.28
0,0.2,20,34.65,-88.55
0,2.5,0,42.92,-112.68
0,0.1,0,26.13,-80.13
0,11.0,15,27.75,-81.52
0,1.7,150,37.38,-87.15
0,0.1,10,41.22,-84.98
0,0.1,40,42.75,-97.72
0,7.0,1,30.47,-81.8
0,0.38,100,38.63,-100.24
0,6.35,250,33.49,-88.39
0,0.13,25,46.8852,-101.298
0,5.0,100,37.65,-98.38
0,3.14,30,44.17,-108.42
0,0.1,30,40.87,-90.63
0,1.59,150,32.43,-85.99
1,3.79,1400,32.3032,-99.0133
0,1.0,100,34.18,-98.5475
0,4.0,150,39.51,-76.41
0,0.56,50,36.28,-76.29
1,10.07,300,34.149,-90.767
0,6.5,80,30.55,-95.83
0,0.05,10,26.1202,-97.733
0,2.0,50,43.73,-120.3
0,0.2,30,34.5211,-97.0025
0,0.3,100,26.23,-98.45
0,0.09,10,43.83,-100.17
0,0.2,30,43.42,-94.72
0,1.71,580,32.2682,-109.8966
0,0.1,30,39.9,-87.78
0,5.59,400,32.4116,-89.1147
0,2.34,25,44.66,-97.94
0,1.32,250,36.371,-81.086
0,4.0,30,38.97,-94.07
0,0.01,50,30.72,-86.56
0,6.2,300,33.57,-87.97
0,0.62,30,42.59,-94.36
0,0.1,50,40.33,-104.85
0,0.3,200,42.0,-91.65
0,0.2,75,34.62,-97.87
0,2.0,100,36.04,-101.05
0,0.37,40,27.73,-97.45
0,1.0,100,39.78,-79.03
0,29.62,600,37.3497,-100.1384
0,1.86,75,36.2015,-77.9465
0,1.11,200,40.876,-98.892
0,3.65,150,32.48,-87.87
0,0.1,50,44.47,-95.82
0,0.08,50,31.43,-89.96
0,0.1,30,38.53,-76.93
0,2.04,500,32.3363,-90.4138
0,0.2,40,32.68,-102.02
0,0.14,50,39.9706,-82.529
0,0.38,25,39.45,-99.1
0,5.0,100,40.57,-95.45
0,0.27,25,36.63,-102.78
0,0.2,30,41.52,-93.52
0,0.25,10,40.39,-102.33
0,0.1,50,48.4,-107.2
0,3.0,300,31.18,-89.45
0,0.1,50,44.45,-97.851
0,1.12,400,45.608,-90.333
0,0.1,50,38.62,-103.58
0,4.5,30,31.0425,-92.7343
0,4.13,125,42.4464,-79.42
0,0.74,75,40.5488,-76.0434
0,1.86,10,29.7484,-84.8935
0,2.77,50,40.8518,-91.7564
0,3.0,30,35.13,-86.2
0,0.1,50,40.25,-103.9
0,7.88,200,37.1976,-94.4632
0,2.0,50,47.88,-98.35
0,0.27,25,39.7853,-90.4215
1,5.6,440,30.37,-98.02
0,9.0,200,45.25,-89.68
0,30.34,500,37.8001,-76.9989
0,0.1,50,44.12,-93.73
0,0.28,100,33.6791,-83.6926
0,0.1,30,32.73,-99.42
0,1.94,100,30.4995,-90.8292
0,1.52,30,38.6573,-87.0782
